No.,Puesto Institucional,Grado jerárquico o escala al que pertenece el puesto,Remuneración mensual unificada,Remuneración unificada (anual),Décimo Tercera Remuneración,Décima Cuarta Remuneración,Horas suplementarias y extraordinarias,Encargos y subrogaciones,Total ingresos adicionales
1568,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1569,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1570,CAPATAZ DE SEGURIDAD Y AMBIENTE ( E ) ,2,796,"9,552.00",464.31,225.19,0,0,689.5
1571,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1572,INGENIERO DE SOPORTE DE AUTOMATIZACIÓN  ( S ),4,"1,224.75","14,697.00",751.9,225.19,449.7,"4,026.75","5,453.54"
1573,TÉCNICO AGROPECUARIO  ,4,"1,920.00","23,040.00","1,120.00",225.19,0,0,"1,345.19"
1574,AYUDANTE DE PRODUCCIÓN  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1575,INGENIERO DE SOPORTE DE CONSTRUCCIONES  ,4,"2,599.00","31,188.00","1,516.06",225.19,0,0,"1,741.25"
1576,GERENTE DE RECURSOS HUMANOS ( E ) ,7,"4,967.00","59,604.00","2,897.44",225.19,0,"5,313.10","8,435.73"
1577,OPERADOR DE ISLA  ( S ),3,740,"8,880.00",524.82,225.19,"1,117.71","4,270.00","6,137.72"
1578,ESPECIALISTA DE APLICACIONES DE NEGOCIOS  ,4,"1,999.00","23,988.00","1,202.11",225.19,432.1,0,"1,859.40"
1579,ASISTENTE OPERADOR CALL CENTER  ,2,580,"6,960.00",338.31,225.19,0,0,563.5
1580,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1581,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
1582,OPERADOR DE ISLA  ,3,"1,405.00","16,860.00",917.02,225.19,"1,169.36",0,"2,311.57"
1583,ESPECIALISTA DE SEGURIDAD ( E ) ,4,683,"8,196.00",398.44,225.19,0,"5,712.00","6,335.63"
1584,INGENIERO DE PERFORACIÓN  ,5,"2,948.99","35,387.88","2,048.43",225.19,"3,938.11",0,"6,211.73"
1585,AYUDANTE DE MANTENIMIENTO  ,1,950,"11,400.00",600.08,225.19,551.06,0,"1,376.33"
1586,TÉCNICO ELÉCTRICO  ,3,"1,536.00","18,432.00",956.09,225.19,721.12,0,"1,902.40"
1587,ESPECIALISTA DE INFRAESTRUCTURA TI  ,4,"2,229.00","26,748.00","1,385.45",225.19,"1,022.52",265.47,"2,898.63"
1588,OPERADOR LÍDER DE PLANTA  ,4,"2,543.00","30,516.00","1,504.61",225.19,254.04,0,"1,983.84"
1589,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1590,OPERADOR DE ISLA  ( S ),3,620,"7,440.00",382.39,225.19,248.64,"2,435.83","3,292.05"
1591,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
1592,AYUDANTE DE MANTENIMIENTO AMBIENTAL  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1593,ANALISTA TÉCNICO DE MATERIALES  ( S ),3,"1,541.00","18,492.00",898.94,225.19,0,0,"1,124.13"
1594,AYUDANTE AUTOMOTRIZ  ,1,465,"5,580.00",271.25,225.19,0,0,496.44
1595,INGENIERO ELÉCTRICO  ,5,"3,420.00","41,040.00","1,995.00",225.19,0,0,"2,220.19"
1596,ASISTENTE ADMINISTRATIVA  ,2,"1,597.00","19,164.00",931.56,225.19,0,0,"1,156.75"
1597,TÉCNICO ELÉCTRICO  ,3,"1,015.00","12,180.00",652.5,225.19,725.2,0,"1,602.89"
1598,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
1599,AUXILIAR DE PROYECTOS  ,1,465,"5,580.00",77.5,64.34,0,0,141.84
1600,SUPERVISOR DE MANTENIMIENTO ( E ) ,5,"1,638.00","19,656.00",955.5,225.19,0,"4,039.00","5,219.69"
1601,INGENIERO DE AUTOMATIZACIÓN ( E ) ,5,"1,861.00","22,332.00","1,088.45",225.19,34.7,"2,478.00","3,826.34"
1602,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1603,OPERADOR DE PLANTA  ,3,"1,334.00","16,008.00",838.01,225.19,718.43,0,"1,781.63"
1604,OPERADOR DE PLANTA ( E ) ,3,796,"9,552.00",561.12,225.19,"1,161.69",401.5,"2,349.50"
1605,SUPERVISOR DE PRODUCCIÓN ( E ) ,5,"1,500.00","18,000.00",922.27,225.19,567.18,"1,167.83","2,882.47"
1606,COORDINADOR DE CONTROL DE COSTOS  ,5,"2,860.00","34,320.00","1,668.31",225.19,0,0,"1,893.50"
1607,ASISTENTE OPERADOR CALL CENTER  ,2,580,"6,960.00",338.31,225.19,0,0,563.5
1608,OPERADOR DE ISLA  ,3,"1,150.00","13,800.00",719.15,225.19,579.8,0,"1,524.14"
1609,INGENIERO DE LEVANTAMIENTO ARTIFICIAL  ,5,"2,953.00","35,436.00","1,857.91",225.19,"1,624.15",0,"3,707.25"
1610,OPERADOR DE PLANTA DE GENERACIÓN ( E ) ,3,620,"7,440.00",390.67,225.19,348.11,"2,765.00","3,728.97"
1611,TÉCNICO AUTOMOTRIZ ( E ) ,3,465,"5,580.00",271.25,225.19,0,"3,850.00","4,346.44"
1612,ANALISTA DE TI  ,3,"1,224.75","14,697.00",773.42,225.19,707.93,0,"1,706.54"
1613,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
1614,AYUDANTE DE MANTENIMIENTO AMBIENTAL  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1615,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1616,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1617,TÉCNICO ELÉCTRICO  ,3,"1,750.00","21,000.00","1,092.52",225.19,860.25,0,"2,177.96"
1618,CAPATAZ DE SEGURIDAD Y AMBIENTE ( E ) ,2,796,"9,552.00",464.31,225.19,0,0,689.5
1619,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",634.06,225.19,0,0,859.25
1620,OPERADOR DE PLANTA  ,3,"1,334.00","16,008.00",831.68,225.19,642,0,"1,698.87"
1621,SUPERVISOR DE CONSTRUCCIONES  ( S ),5,"2,215.00","26,580.00","1,292.06",225.19,0,"8,036.00","9,553.25"
1622,ANALISTA DE RECURSOS HUMANOS  ,3,"1,215.00","14,580.00",708.75,225.19,0,358.17,"1,292.11"
1623,ANALISTA DE CONTROL DE COSTOS  ,3,"1,310.00","15,720.00",764.19,225.19,0,0,989.38
1624,INGENIERO DE OPERACIONES Y COMPLETACIÓN ( E ) ,5,"1,815.00","21,780.00","1,095.73",225.19,443.75,"2,800.00","4,564.67"
1625,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
1626,AYUDANTE DE MANTENIMIENTO AMBIENTAL  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1627,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",648.63,225.19,678.76,0,"1,552.58"
1628,SUPERVISOR DE PRODUCCIÓN ( E ) ,5,"2,133.23","25,598.76","1,490.28",225.19,"2,950.97",572.39,"5,238.83"
1629,TÉCNICO MECÁNICO  ,3,"2,097.00","25,164.00","1,225.43",225.19,26.21,0,"1,476.83"
1630,DESPACHADOR  ,1,687,"8,244.00",411.12,225.19,124.5,0,760.81
1631,SUPERVISOR DE REACONDICIONAMIENTO  ,5,"2,200.00","26,400.00","1,720.63",225.19,"5,247.71",0,"7,193.53"
1632,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1633,ANALISTA DE TI  ,3,"1,530.00","18,360.00",897.93,225.19,65.19,0,"1,188.31"
1634,INGENIERO DE CORROSIÓN Y QUÍMICOS  ,5,"2,953.00","35,436.00","1,722.56",225.19,0,0,"1,947.75"
1635,ANALISTA DE CONTRATOS  ( S ),3,"1,597.00","19,164.00",931.56,225.19,0,3.45,"1,160.20"
1636,OPERADOR DE PLANTA DE GENERACIÓN PATIO  ,3,"1,015.00","12,180.00",643.41,225.19,615.89,0,"1,484.49"
1637,INGENIERO DE CONFIABILIDAD  ,5,"2,500.00","30,000.00","1,725.67",225.19,"3,208.34",0,"5,159.20"
1638,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
1639,ADMINISTRADOR DE CAMPO ( E ) ,4,"1,100.00","13,200.00",641.69,225.19,0,"2,793.00","3,659.88"
1640,ESPECIALISTA DE SEGURIDAD Y AMBIENTE ( E ) ,4,"1,354.00","16,248.00",658.18,187.66,0,531.67,"1,377.51"
1641,ANALISTA DE CONTROL DE COSTOS ( E ) ,3,916,"10,992.00",534.31,225.19,0,693,"1,452.50"
1642,TÉCNICO DE CONSTRUCCIONES ( E ) ,3,620,"7,440.00",361.68,225.19,0,0,586.87
1643,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",661.25,225.19,829.95,0,"1,716.39"
1644,CONSTRUCTOR COMUNITARIO  ,4,"2,000.00","24,000.00","1,166.69",225.19,0,0,"1,391.88"
1645,ENFERMERO/A  ,3,"2,285.11","27,421.32","1,333.01",225.19,0,0,"1,558.20"
1646,SUPERINTENDENTE DE MANTENIMIENTO  ,6,"5,450.00","65,400.00","3,179.19",225.19,0,0,"3,404.38"
1647,COORDINADOR RODA  ,5,"4,125.00","49,500.00","2,406.25",225.19,0,0,"2,631.44"
1648,COORDINADOR ZONAL DE CONSORCIOS (ZC-L)  ,5,"2,700.00","32,400.00","1,575.00",225.19,0,95.17,"1,895.36"
1649,ANALISTA ADMINISTRATIVA ( E ) ,3,"1,486.00","17,832.00",866.81,225.19,0,0,"1,092.00"
1650,OPERADOR DE PLANTA DE GENERACIÓN  ,3,"1,015.00","12,180.00",814.98,225.19,"2,674.93",0,"3,715.10"
1651,TÉCNICO OVERHAUL  ,3,"1,296.00","15,552.00",771.6,225.19,187.26,0,"1,184.05"
1652,SUPERVISOR DE INSTRUMENTACIÓN  ,5,"2,599.00","31,188.00","1,538.76",225.19,272.18,0,"2,036.13"
1653,AYUDANTE DE MANTENIMIENTO  ,1,950,"11,400.00",591.9,225.19,452.65,0,"1,269.74"
1654,TÉCNICO LÍDER AUTOMOTRIZ ( E ) ,4,465,"5,580.00",271.25,225.19,0,"7,238.00","7,734.44"
1655,TÉCNICO DE INTEGRIDAD MECÁNICA ( E ) ,3,620,"7,440.00",361.68,225.19,0,"2,765.00","3,351.87"
1656,AYUDANTE DE MANTENIMIENTO  ,1,620,"7,440.00",364.04,225.19,28.36,0,617.59
1657,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1658,AYUDANTE DE MANTENIMIENTO AMBIENTAL  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1659,ESPECIALISTA EN REPARACIÓN  ,4,916,"10,992.00",534.31,225.19,0,"3,944.97","4,704.47"
1660,AYUDANTE DE ALMACÉN  ,1,465,"5,580.00",271.25,225.19,0,0,496.44
1661,FISCALIZADOR RODA  ,5,"2,953.00","35,436.00","2,112.22",225.19,"4,675.57",0,"7,012.98"
1662,INGENIERO DE CONSTRUCCIÓN  ,5,"2,953.00","35,436.00","2,094.78",225.19,"4,466.44",0,"6,786.41"
1663,ANALISTA PROMOTOR LABORAL  ,3,865,"10,380.00",504.56,225.19,0,0,729.75
1664,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1665,AYUDANTE DE CONSTRUCCIONES  ,1,"1,087.00","13,044.00",640.86,225.19,81.54,0,947.59
1666,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1667,SUPERVISOR DE PROYECTOS  ,5,"3,500.00","42,000.00","2,041.69",225.19,0,0,"2,266.88"
1668,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
1669,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1670,ESPECIALISTA DE PLANIFICACIÓN Y CATALOGACIÓN  ( S ),4,"1,541.00","18,492.00",916.39,225.19,209.48,"2,015.20","3,366.26"
1671,AYUDANTE DE PRODUCCIÓN  ,1,715.45,"8,585.40",417.34,225.19,0,0,642.53
1672,ASISTENTE DE CONTROL DE DOCUMENTOS ( E ) ,2,620,"7,440.00",361.68,225.19,0,469,"1,055.87"
1673,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",693.34,225.19,711.11,0,"1,629.64"
1674,AYUDANTE DE PRODUCCIÓN  ,1,627.45,"7,529.40",366.03,225.19,0,0,591.22
1675,TÉCNICO MECÁNICO  ,3,"1,015.00","12,180.00",596.03,225.19,47.58,0,868.8
1676,TÉCNICO ELÉCTRICO DE AIRE ACONDICIONADO  ,3,"1,015.00","12,180.00",592.06,225.19,0,0,817.25
1677,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1678,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
1679,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1680,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1681,INGENIERO DE LEVANTAMIENTO ARTIFICIAL  ,5,"2,600.00","31,200.00","1,516.69",225.19,0,0,"1,741.88"
1682,OPERADOR DE PLANTA DE GENERACIÓN  ,3,"1,015.00","12,180.00",647.29,225.19,662.41,0,"1,534.89"
1683,TÉCNICO MECÁNICO  ,3,"1,015.00","12,180.00",592.07,225.19,0,0,817.26
1684,SUPERVISOR DE INSTRUMENTACIÓN  ,5,"2,599.00","31,188.00","1,524.61",225.19,102.61,0,"1,852.41"
1685,INGENIERO DE FACILIDADES  ,5,"3,200.00","38,400.00","1,866.69",225.19,0,0,"2,091.88"
1686,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",645.56,225.19,138.04,0,"1,008.79"
1687,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",634.06,225.19,0,0,859.25
1688,OPERADOR DE EQUIPO PESADO  ,3,"1,196.00","14,352.00",697.69,225.19,0,0,922.88
1689,TÉCNICO AUTOMOTRIZ ( E ) ,3,465,"5,580.00",271.25,225.19,0,"3,850.00","4,346.44"
1690,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1691,CAPATAZ DE SEGURIDAD Y AMBIENTE ( E ) ,2,796,"9,552.00",464.31,225.19,0,0,689.5
1692,AYUDANTE DE PRODUCCIÓN  ,1,627.45,"7,529.40",396.57,225.19,366.69,0,988.45
1693,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1694,ADMINISTRADOR DE CAMPO  ,4,"1,700.00","20,400.00",991.69,225.19,0,0,"1,216.88"
1695,INGENIERO DE INSTRUMENTACIÓN Y CONTROL  ,5,"2,953.00","35,436.00","1,790.78",225.19,818.65,0,"2,834.62"
1696,INGENIERO DE LEVANTAMIENTO ARTIFICIAL  ,5,"2,600.00","31,200.00","1,558.63",225.19,503.49,470.67,"2,757.98"
1697,OPERADOR DE PLANTA  ,3,"1,334.00","16,008.00",841.84,225.19,764.28,0,"1,831.31"
1698,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1699,TÉCNICO AUTOMOTRIZ ( E ) ,3,465,"5,580.00",271.25,225.19,0,"3,850.00","4,346.44"
1700,INGENIERO DE INSTRUMENTACION Y CONTROL  ,5,"3,008.00","36,096.00","1,823.62",225.19,827.2,0,"2,876.01"
1701,TÉCNICO MECÁNICO TORNERO ( E ) ,3,620,"7,440.00",369.87,225.19,98.52,"2,765.00","3,458.58"
1702,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1703,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1704,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
1705,AYUDANTE DE MANTENIMIENTO  ,1,620,"7,440.00",367.6,225.19,70.92,0,663.71
1706,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",690.14,225.19,672.61,0,"1,587.94"
1707,OPERADOR DE PLANTA  ,3,"1,334.00","16,008.00",831.66,225.19,642,0,"1,698.85"
1708,OPERADOR DE PLANTA  ,3,"1,334.00","16,008.00",831.66,225.19,642,0,"1,698.85"
1709,OPERADOR DE PLANTA ( E ) ,3,"1,087.00","13,044.00",687.02,225.19,635.24,0,"1,547.45"
1710,SUPERVISOR DE MANTENIMIENTO  ,5,"3,225.00","38,700.00","1,881.25",225.19,0,0,"2,106.44"
1711,AYUDANTE DE MANTENIMIENTO  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1712,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
1713,OPERADOR DE PLANTA  ,3,"1,334.00","16,008.00",839.31,225.19,733.71,0,"1,798.21"
1714,TÉCNICO MECÁNICO  ,3,"1,460.00","17,520.00",851.69,225.19,0,0,"1,076.88"
1715,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
1716,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
1717,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1718,AYUDANTE DE MANTENIMIENTO  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
1719,AYUDANTE DE MANTENIMIENTO AMBIENTAL  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1720,CONDUCTOR ADMINISTRATIVO  ,1,794.85,"9,538.20",466.14,225.19,"1,021.38",0,"1,712.71"
1721,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1722,INGENIERO DE CORROSIÓN Y QUÍMICOS ( E ) ,5,"1,354.00","16,248.00",789.81,225.19,0,"6,027.00","7,042.00"
1723,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1724,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1725,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
1726,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",634.06,225.19,0,0,859.25
1727,ANALISTA PROMOTOR LABORAL  ,3,916,"10,992.00",534.31,225.19,0,0,759.5
1728,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1729,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1730,OPERADOR DE PLANTA  ,3,"1,334.00","16,008.00",849.5,225.19,856,0,"1,930.69"
1731,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1732,AYUDANTE AUTOMOTRIZ  ,1,515,"6,180.00",300.44,225.19,0,0,525.63
1733,AYUDANTE DE PRODUCCIÓN  ,1,620,"7,440.00",370.32,225.19,103.66,0,699.17
1734,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1735,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1736,AYUDANTE DE PRODUCCIÓN  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
1737,COORDINADOR DE RECURSOS HUMANOS  ,5,"2,800.00","33,600.00","1,633.31",225.19,0,0,"1,858.50"
1738,TÉCNICO DE CONSTRUCCIONES  ( S ),3,620,"7,440.00",361.68,225.19,0,"1,958.90","2,545.77"
1739,ADMINISTRADOR ALERT ( E ) ,3,796,"9,552.00",464.31,225.19,0,"1,533.00","2,222.50"
1740,AYUDANTE DE PRODUCCIÓN  ,1,627.45,"7,529.40",366.03,225.19,0,0,591.22
1741,AYUDANTE DE PRODUCCIÓN  ,1,627.45,"7,529.40",367.01,225.19,11.76,0,603.96
1742,AGENTE DE TRAFICO  ,3,"1,196.00","14,352.00",734.74,225.19,444.76,0,"1,404.69"
1743,OPERADOR DE ISLA  ,3,"1,150.00","13,800.00",734.62,225.19,765.48,0,"1,725.29"
1744,GERENTE DE MANTENIMIENTO ( E ) ,7,"4,967.00","59,604.00","2,897.44",225.19,0,"4,158.67","7,281.30"
1745,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1746,AYUDANTE DE PRODUCCIÓN  ,1,620,"7,440.00",362.32,225.19,7.75,0,595.26
1747,TÉCNICO MECÁNICO PLANTA DE GENERACIÓN  ,3,"1,350.00","16,200.00",787.5,225.19,0,0,"1,012.69"
1748,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",643.27,225.19,614.27,0,"1,482.73"
1749,ASISTENTE DE SEGURIDAD Y AMBIENTE ( E ) ,2,620,"7,440.00",361.68,225.19,0,469,"1,055.87"
1750,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1751,TÉCNICO DE OPERACIONES ( E ) ,4,"1,015.00","12,180.00",599.82,225.19,93.04,"3,113.73","4,031.78"
1752,ASISTENTE DE LOGISTICA DE PERSONAL (COCA)  ,2,"1,597.00","19,164.00",931.56,225.19,0,0,"1,156.75"
1753,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1754,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1755,MENSAJERO  ,1,465,"5,580.00",271.25,225.19,0,0,496.44
1756,ANALISTA DE CONTROL DE COSTOS  ,3,"1,300.00","15,600.00",758.31,225.19,0,0,983.5
1757,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
1758,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",654.19,225.19,745.23,0,"1,624.61"
1759,TÉCNICO ELÉCTRICO ( E ) ,3,"1,077.51","12,930.12",642.65,225.19,169.25,0,"1,037.09"
1760,SUPERVISOR DE VIVEROS ( E ) ,5,"2,229.00","26,748.00","1,300.25",225.19,0,"1,197.00","2,722.44"
1761,BODEGUERO  ,2,916,"10,992.00",534.31,225.19,0,0,759.5
1762,TÉCNICO DE CONSTRUCCIONES ( E ) ,3,620,"7,440.00",361.68,225.19,0,"2,765.00","3,351.87"
1763,INGENIERO DE AUTOMATIZACIÓN Y CONTROL  ,5,"2,215.00","26,580.00","1,294.95",225.19,34.61,0,"1,554.75"
1764,AYUDANTE DE ALMACÉN  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
1765,AYUDANTE PAV  ,1,620,"7,440.00",354.79,220.9,0,0,575.69
1766,ANALISTA DE PLANIFICACIÓN Y ABASTECIMIENTO  ,3,"1,860.00","22,320.00","1,099.53",225.19,174.38,0,"1,499.10"
1767,ASISTENTE OPERADOR CALL CENTER  ,2,580,"6,960.00",338.31,225.19,0,0,563.5
1768,AUDITOR INTERNO  ,4,"2,000.00","24,000.00","1,150.02",221.97,0,0,"1,371.99"
1769,SUPERVISOR DE SEGURIDAD Y AMBIENTE ( E ) ,5,"3,000.00","36,000.00","1,750.00",225.19,0,0,"1,975.19"
1770,ANALISTA DE CONTROL DE COSTOS  ,3,"1,541.00","18,492.00",907.5,225.19,102.73,0,"1,235.42"
1771,SUPERVISOR DE REACONDICIONAMIENTO ( E ) ,5,"1,560.00","18,720.00","1,187.33",225.19,"3,328.00","4,585.00","9,325.52"
1772,FISCALIZADOR RODA  ,5,"2,736.00","32,832.00","1,894.30",225.19,"3,579.60",0,"5,699.09"
1773,ESPECIALISTA DE APLICACIONES DE NEGOCIOS  ,4,"2,960.77","35,529.24","1,768.24",225.19,493.46,0,"2,486.89"
1774,INGENIERO DE PROCESOS  ,5,"1,800.00","21,600.00","1,091.25",225.19,495,857.67,"2,669.11"
1775,TÉCNICO ELÉCTRICO PLANTA DE GENERACIÓN  ,3,"2,465.00","29,580.00","1,518.39",225.19,965.46,0,"2,709.04"
1776,ANALISTA DE TI  ,3,"1,530.00","18,360.00",900.45,225.19,95.47,0,"1,221.11"
1777,MÉDICO COMUNITARIO  ,4,"2,500.00","30,000.00","1,458.31",225.19,0,0,"1,683.50"
1778,OPERADOR DE PLANTA DE GENERACIÓN ( E ) ,3,620,"7,440.00",369.97,225.19,99.42,"1,448.33","2,142.91"
1779,BODEGUERO  ,2,"1,597.00","19,164.00",931.56,225.19,0,0,"1,156.75"
1780,ASISTENTE ADMINISTRATIVA  ,2,950,"11,400.00",554.19,225.19,0,0,779.38
1781,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1782,BODEGUERO DE COMBUSTIBLE ( E ) ,2,465,"5,580.00",271.25,225.19,0,"1,554.00","2,050.44"
1783,ESPECIALISTA DE GESTIÓN DE MATERIALES ( E ) ,4,"1,300.00","15,600.00",758.31,225.19,0,"1,393.00","2,376.50"
1784,INGENIERO ESPECIALISTA DE LEVANTAMIENTO ARTIFICIAL  ,5,"2,953.00","35,436.00","1,722.56",225.19,0,0,"1,947.75"
1785,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",363.29,225.19,19.38,0,607.86
1786,AUXILIAR DE SERVICIOS  ,1,465,"5,580.00",271.25,225.19,0,0,496.44
1787,TÉCNICO MECÁNICO  ,3,"1,890.06","22,680.72","1,125.94",225.19,281.17,0,"1,632.30"
1788,ANALISTA DE AUDITORÍA INTERNA  ,3,"1,500.00","18,000.00",845.83,217.68,0,0,"1,063.51"
1789,ANALISTA PROMOTOR LABORAL  ,3,929,"11,148.00",541.94,225.19,0,0,767.13
1790,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",634.06,225.19,0,0,859.25
1791,CONSTRUCTOR COMUNITARIO  ,4,"2,300.00","27,600.00","1,341.69",225.19,0,0,"1,566.88"
1792,ANALISTA DE TI  ,3,"1,530.00","18,360.00",902.87,225.19,124.33,0,"1,252.39"
1793,INGENIERO DE SOPORTE DE CONFIABILIDAD  ,4,"1,499.00","17,988.00",874.44,225.19,0,0,"1,099.63"
1794,OPERADOR DE ISLA  ,3,"1,296.00","15,552.00",836.88,225.19,970.65,0,"2,032.72"
1795,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
1796,OPERADOR DE VACUUM ( E ) ,2,715.45,"8,585.40",420.45,225.19,37.25,"1,335.95","2,018.84"
1797,INGENIERO DE OPERACIONES Y COMPLETACIÓN  ,5,"2,736.00","32,832.00","1,800.23",225.19,"2,450.72",0,"4,476.14"
1798,AYUDANTE DE ALMACÉN  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
1799,COORDINADOR DE CONTROL DE ACTIVOS  ,5,"2,600.00","31,200.00","1,516.69",225.19,0,0,"1,741.88"
1800,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1801,TÉCNICO MECÁNICO ( E ) ,3,885,"10,620.00",522.23,225.19,71.82,910,"1,729.24"
1802,INGENIERO DE CONFIABILIDAD ( E ) ,5,"1,638.00","19,656.00",958.06,225.19,30.71,"4,039.00","5,252.96"
1803,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1804,INGENIERO DE SOPORTE DE CONSTRUCCIONES  ,4,"1,999.00","23,988.00","1,168.15",225.19,24.99,0,"1,418.33"
1805,COORDINADOR LOGÍSTICO DE PERFORACIÓN ( E ) ,5,"1,560.00","18,720.00","1,336.85",225.19,"5,122.02","4,585.00","11,269.06"
